word	label	count
абэ	unclassified_short	8
алақай	expressive_interjection	8
лю	unclassified_short	8
жи	unclassified_short	8
рая	unclassified_short	8
кз	unclassified_short	8
тию	unclassified_short	8
шок	unclassified_short	8
аж	unclassified_short	8
хау	unclassified_short	8
пи	unclassified_short	8
рао	unclassified_short	8
ыр	unclassified_short	8
янь	unclassified_short	8
ск	unclassified_short	8
шуы	unclassified_short	8
ху	unclassified_short	8
іро	unclassified_short	8
поп	unclassified_short	8
ғ	unclassified_short	8
v	unclassified_short	8
дуа	unclassified_short	8
дік	unclassified_short	8
рэп	unclassified_short	8
бах	unclassified_short	8
тоя	unclassified_short	8
вкп	unclassified_short	8
фау	unclassified_short	8
зып	unclassified_short	8
ц	unclassified_short	8
сш	unclassified_short	8
хи	unclassified_short	8
дсм	unclassified_short	8
ғап	unclassified_short	8
іім	unclassified_short	8
паң	unclassified_short	8
сян	unclassified_short	8
шүн	unclassified_short	7
ық	unclassified_short	7
көң	unclassified_short	7
бө	unclassified_short	7
чем	unclassified_short	7
просто	discourse_filler	7
его	unclassified_short	7
во	unclassified_short	7
нас	unclassified_short	7
эс	unclassified_short	7
тж	unclassified_short	7
вак	unclassified_short	7
ұк	unclassified_short	7
мжә	unclassified_short	7
дсұ	unclassified_short	7
еэк	unclassified_short	7
ся	unclassified_short	7
дцп	unclassified_short	7
тим	unclassified_short	7
ак	unclassified_short	7
шрш	unclassified_short	7
хқо	unclassified_short	7
сон	unclassified_short	7
эм	unclassified_short	7
еұу	unclassified_short	7
жіі	unclassified_short	7
шыұ	unclassified_short	7
ііс	unclassified_short	7
дұп	unclassified_short	7
жаң	unclassified_short	7
кар	unclassified_short	7
күс	unclassified_short	7
люк	unclassified_short	7
мак	unclassified_short	7
гай	unclassified_short	7
лун	unclassified_short	7
дай	unclassified_short	7
тос	unclassified_short	7
сыя	unclassified_short	7
фи	unclassified_short	7
уфа	unclassified_short	7
нән	unclassified_short	7
мәссаған	expressive_interjection	7
еһ	unclassified_short	7
нәп	unclassified_short	7
кг	unclassified_short	7
орк	unclassified_short	7
хх	unclassified_short	7
ұ	unclassified_short	7
қаш	unclassified_short	7
еп	unclassified_short	7
